Date,Price
1987-06-30,18.53
1988-06-30,14.91
1989-06-30,18.23
1990-06-30,23.76
1991-06-30,20.04
1992-06-30,19.32
1993-06-30,17.01
1994-06-30,15.86
1995-06-30,17.02
1996-06-30,20.64
1997-06-30,19.11
1998-06-30,12.76
1999-06-30,17.9
2000-06-30,28.66
2001-06-30,24.46
2002-06-30,24.99
2003-06-30,28.85
2004-06-30,38.26
2005-06-30,54.57
2006-06-30,65.16
2007-06-30,72.44
2008-06-30,96.94
2009-06-30,61.74
2010-06-30,79.61
2011-06-30,111.26
2012-06-30,111.63
2013-06-30,108.56
2014-06-30,98.97
2015-06-30,52.32
2016-06-30,43.64
2017-06-30,54.13
2018-06-30,71.34
2019-06-30,64.3
